ts_code,symbol,name,area,industry,fullname,market,exchange,list_status,list_date
000001.SZ,000001,平安银行,深圳,银行,平安银行股份有限公司,主板,SZSE,L,1991-04-03
000002.SZ,000002,万科A,深圳,全国地产,万科企业股份有限公司,主板,SZSE,L,1991-01-29
000004.SZ,000004,国华网安,深圳,软件服务,深圳国华网安科技股份有限公司,主板,SZSE,L,1991-01-14
000006.SZ,000006,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,主板,SZSE,L,1992-04-27
000007.SZ,000007,*ST全新,深圳,其他商业,深圳市全新好股份有限公司,主板,SZSE,L,1992-04-13
000008.SZ,000008,神州高铁,北京,运输设备,神州高铁技术股份有限公司,主板,SZSE,L,1992-05-07
000009.SZ,000009,中国宝安,深圳,电气设备,中国宝安集团股份有限公司,主板,SZSE,L,1991-06-25
000010.SZ,000010,美丽生态,深圳,建筑工程,深圳美丽生态股份有限公司,主板,SZSE,L,1995-10-27
000011.SZ,000011,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,主板,SZSE,L,1992-03-30
000012.SZ,000012,南玻A,深圳,玻璃,中国南玻集团股份有限公司,主板,SZSE,L,1992-02-28
000014.SZ,000014,沙河股份,深圳,全国地产,沙河实业股份有限公司,主板,SZSE,L,1992-06-02
000016.SZ,000016,深康佳A,深圳,家用电器,康佳集团股份有限公司,主板,SZSE,L,1992-03-27
000017.SZ,000017,深中华A,深圳,服饰,深圳中华自行车(集团)股份有限公司,主板,SZSE,L,1992-03-31
000019.SZ,000019,深粮控股,深圳,农业综合,深圳市深粮控股股份有限公司,主板,SZSE,L,1992-10-12
000020.SZ,000020,深华发A,深圳,元器件,深圳中恒华发股份有限公司,主板,SZSE,L,1992-04-28
000021.SZ,000021,深科技,深圳,元器件,深圳长城开发科技股份有限公司,主板,SZSE,L,1994-02-02
000023.SZ,000023,*ST深天,深圳,水泥,深圳市天地(集团)股份有限公司,主板,SZSE,L,1993-04-29
000025.SZ,000025,特力A,深圳,汽车服务,深圳市特力(集团)股份有限公司,主板,SZSE,L,1993-06-21
000026.SZ,000026,飞亚达,深圳,服饰,飞亚达精密科技股份有限公司,主板,SZSE,L,1993-06-03
000027.SZ,000027,深圳能源,深圳,火力发电,深圳能源集团股份有限公司,主板,SZSE,L,1993-09-03
000028.SZ,000028,国药一致,深圳,医药商业,国药集团一致药业股份有限公司,主板,SZSE,L,1993-08-09
000029.SZ,000029,深深房A,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,主板,SZSE,L,1993-09-15
000030.SZ,000030,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,主板,SZSE,L,1993-09-29
000031.SZ,000031,大悦城,深圳,全国地产,大悦城控股集团股份有限公司,主板,SZSE,L,1993-10-08
000032.SZ,000032,深桑达A,深圳,建筑工程,深圳市桑达实业股份有限公司,主板,SZSE,L,1993-10-28
000034.SZ,000034,神州数码,深圳,软件服务,神州数码集团股份有限公司,主板,SZSE,L,1994-05-09
000035.SZ,000035,中国天楹,江苏,环境保护,中国天楹股份有限公司,主板,SZSE,L,1994-04-08
000036.SZ,000036,华联控股,深圳,全国地产,华联控股股份有限公司,主板,SZSE,L,1994-06-17
000037.SZ,000037,深南电A,深圳,火力发电,深圳南山热电股份有限公司,主板,SZSE,L,1994-07-01
000039.SZ,000039,中集集团,深圳,运输设备,中国国际海运集装箱(集团)股份有限公司,主板,SZSE,L,1994-04-08
000040.SZ,000040,东旭蓝天,深圳,新型电力,东旭蓝天新能源股份有限公司,主板,SZSE,L,1994-08-08
000042.SZ,000042,中洲控股,深圳,全国地产,深圳市中洲投资控股股份有限公司,主板,SZSE,L,1994-09-21
000045.SZ,000045,深纺织A,深圳,元器件,深圳市纺织(集团)股份有限公司,主板,SZSE,L,1994-08-15
000048.SZ,000048,京基智农,深圳,区域地产,深圳市京基智农时代股份有限公司,主板,SZSE,L,1994-11-01
000049.SZ,000049,德赛电池,深圳,电气设备,深圳市德赛电池科技股份有限公司,主板,SZSE,L,1995-03-20
000050.SZ,000050,深天马A,深圳,元器件,天马微电子股份有限公司,主板,SZSE,L,1995-03-15
000055.SZ,000055,方大集团,深圳,装修装饰,方大集团股份有限公司,主板,SZSE,L,1996-04-15
000056.SZ,000056,皇庭国际,深圳,房产服务,深圳市皇庭国际企业股份有限公司,主板,SZSE,L,1996-07-08
000058.SZ,000058,深赛格,深圳,商品城,深圳赛格股份有限公司,主板,SZSE,L,1996-12-26
000059.SZ,000059,华锦股份,辽宁,石油加工,北方华锦化学工业股份有限公司,主板,SZSE,L,1997-01-30
000060.SZ,000060,中金岭南,深圳,铅锌,深圳市中金岭南有色金属股份有限公司,主板,SZSE,L,1997-01-23
000061.SZ,000061,农产品,深圳,农业综合,深圳市农产品集团股份有限公司,主板,SZSE,L,1997-01-10
000062.SZ,000062,深圳华强,深圳,元器件,深圳华强实业股份有限公司,主板,SZSE,L,1997-01-30
000063.SZ,000063,中兴通讯,深圳,通信设备,中兴通讯股份有限公司,主板,SZSE,L,1997-11-18
000065.SZ,000065,北方国际,北京,建筑工程,北方国际合作股份有限公司,主板,SZSE,L,1998-06-05
000066.SZ,000066,中国长城,深圳,IT设备,中国长城科技集团股份有限公司,主板,SZSE,L,1997-06-26
000068.SZ,000068,华控赛格,深圳,环境保护,深圳华控赛格股份有限公司,主板,SZSE,L,1997-06-11
000069.SZ,000069,华侨城A,深圳,全国地产,深圳华侨城股份有限公司,主板,SZSE,L,1997-09-10
000070.SZ,000070,特发信息,深圳,通信设备,深圳市特发信息股份有限公司,主板,SZSE,L,2000-05-11
000078.SZ,000078,海王生物,深圳,医药商业,深圳市海王生物工程股份有限公司,主板,SZSE,L,1998-12-18
000088.SZ,000088,盐田港,深圳,港口,深圳市盐田港股份有限公司,主板,SZSE,L,1997-07-28
000089.SZ,000089,深圳机场,深圳,机场,深圳市机场股份有限公司,主板,SZSE,L,1998-04-20
000090.SZ,000090,天健集团,深圳,建筑工程,深圳市天健(集团)股份有限公司,主板,SZSE,L,1999-07-21
000096.SZ,000096,广聚能源,深圳,石油贸易,深圳市广聚能源股份有限公司,主板,SZSE,L,2000-07-24
000099.SZ,000099,中信海直,深圳,空运,中信海洋直升机股份有限公司,主板,SZSE,L,2000-07-31
000100.SZ,000100,TCL科技,广东,元器件,TCL科技集团股份有限公司,主板,SZSE,L,2004-01-30
000151.SZ,000151,中成股份,北京,商贸代理,中成进出口股份有限公司,主板,SZSE,L,2000-09-06
000153.SZ,000153,丰原药业,安徽,化学制药,安徽丰原药业股份有限公司,主板,SZSE,L,2000-09-20
000155.SZ,000155,川能动力,四川,新型电力,四川省新能源动力股份有限公司,主板,SZSE,L,2000-09-26
000156.SZ,000156,华数传媒,浙江,影视音像,华数传媒控股股份有限公司,主板,SZSE,L,2000-09-06
000157.SZ,000157,中联重科,湖南,工程机械,中联重科股份有限公司,主板,SZSE,L,2000-10-12
000158.SZ,000158,常山北明,河北,软件服务,石家庄常山北明科技股份有限公司,主板,SZSE,L,2000-07-24
000159.SZ,000159,国际实业,新疆,石油贸易,新疆国际实业股份有限公司,主板,SZSE,L,2000-09-26
000166.SZ,000166,申万宏源,新疆,证券,申万宏源集团股份有限公司,主板,SZSE,L,2015-01-26
000301.SZ,000301,东方盛虹,江苏,化纤,江苏东方盛虹股份有限公司,主板,SZSE,L,2000-05-29
000333.SZ,000333,美的集团,广东,家用电器,美的集团股份有限公司,主板,SZSE,L,2013-09-18
000338.SZ,000338,潍柴动力,山东,汽车配件,潍柴动力股份有限公司,主板,SZSE,L,2007-04-30
000400.SZ,000400,许继电气,河南,电气设备,许继电气股份有限公司,主板,SZSE,L,1997-04-18
000401.SZ,000401,冀东水泥,河北,水泥,唐山冀东水泥股份有限公司,主板,SZSE,L,1996-06-14
000402.SZ,000402,金融街,北京,全国地产,金融街控股股份有限公司,主板,SZSE,L,1996-06-26
000403.SZ,000403,派林生物,山西,生物制药,派斯双林生物制药股份有限公司,主板,SZSE,L,1996-06-28
000404.SZ,000404,长虹华意,江西,家用电器,长虹华意压缩机股份有限公司,主板,SZSE,L,1996-06-19
000407.SZ,000407,胜利股份,山东,供气供热,山东胜利股份有限公司,主板,SZSE,L,1996-07-03
000408.SZ,000408,藏格矿业,青海,农药化肥,藏格矿业股份有限公司,主板,SZSE,L,1996-06-28
000409.SZ,000409,云鼎科技,山东,软件服务,云鼎科技股份有限公司,主板,SZSE,L,1996-06-27
000410.SZ,000410,沈阳机床,辽宁,机床制造,沈阳机床股份有限公司,主板,SZSE,L,1996-07-18
000411.SZ,000411,英特集团,浙江,医药商业,浙江英特集团股份有限公司,主板,SZSE,L,1996-07-16
000413.SZ,000413,东旭光电,河北,元器件,东旭光电科技股份有限公司,主板,SZSE,L,1996-09-25
000415.SZ,000415,渤海租赁,新疆,多元金融,渤海租赁股份有限公司,主板,SZSE,L,1996-07-16
000416.SZ,000416,*ST民控,山东,多元金融,民生控股股份有限公司,主板,SZSE,L,1996-07-19
000417.SZ,000417,合肥百货,安徽,百货,合肥百货大楼集团股份有限公司,主板,SZSE,L,1996-08-12
