ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688041.SH,20250909,177.43,179.3,173.5,174.51,179.35,-4.840000000000003,-2.7,243369.12,4280954.905
688041.SH,20250908,179.99,182.5,175.12,179.35,179.4,-0.05000000000001137,-0.03,323919.46,5780920.119
688041.SH,20250905,173.88,181.24,169.33,179.4,173.28,6.1200000000000045,3.53,460465.55,8044531.092
688041.SH,20250904,195.5,195.6,170.41,173.28,194.98,-21.69999999999999,-11.13,670917.05,12044217.643
688041.SH,20250903,198.0,199.39,192.0,194.98,201.89,-6.909999999999997,-3.42,390034.01,7617745.955
688041.SH,20250902,206.0,211.79,196.8,201.89,208.96,-7.070000000000022,-3.38,550626.23,11252789.619
688041.SH,20250901,199.0,217.33,194.9,208.96,194.52,14.439999999999998,7.42,657334.13,13449100.185
688041.SH,20250829,199.71,199.82,192.6,194.52,205.0,-10.47999999999999,-5.11,498827.64,9790166.235
688041.SH,20250828,191.0,205.69,190.88,205.0,191.95,13.050000000000011,6.8,697395.15,13774649.778
688041.SH,20250827,200.17,202.61,191.37,191.95,197.23,-5.280000000000001,-2.68,645846.89,12778391.679
688041.SH,20250826,203.18,203.9,196.8,197.23,210.1,-12.870000000000005,-6.13,579201.79,11572471.615
688041.SH,20250825,196.0,217.66,195.36,210.1,186.06,24.039999999999992,12.92,1022044.24,21035996.934
688041.SH,20250822,159.18,186.06,159.18,186.06,155.05,31.00999999999999,20.0,751546.32,13309982.031
688041.SH,20250821,156.91,160.3,154.14,155.05,155.79,-0.7399999999999807,-0.47,417575.41,6561110.984
688041.SH,20250820,148.88,155.96,146.77,155.79,148.73,7.060000000000002,4.75,482361.73,7339021.047
688041.SH,20250819,152.1,153.66,148.7,148.73,152.61,-3.880000000000024,-2.54,363116.41,5472754.781
688041.SH,20250818,155.0,155.58,151.4,152.61,153.86,-1.25,-0.81,430598.35,6592989.486
688041.SH,20250815,150.03,155.0,150.0,153.86,152.49,1.3700000000000045,0.9,442455.4,6770492.666
688041.SH,20250814,140.9,159.99,140.56,152.49,140.12,12.370000000000005,8.83,789014.78,12019911.089
688041.SH,20250813,140.0,142.33,138.58,140.12,138.8,1.3199999999999932,0.95,368883.71,5177697.114
688041.SH,20250812,136.0,143.68,135.05,138.8,135.91,2.890000000000015,2.13,495999.29,6896303.131
688041.SH,20250811,136.15,136.89,135.7,135.91,136.12,-0.21000000000000796,-0.15,160455.34,2184254.281
688041.SH,20250808,136.6,137.17,135.7,136.12,136.61,-0.4900000000000091,-0.36,165157.27,2249937.371
688041.SH,20250807,137.89,138.85,136.41,136.61,137.34,-0.7299999999999898,-0.53,242396.98,3328624.756
688041.SH,20250806,139.35,139.62,136.38,137.34,142.46,-5.1200000000000045,-3.59,408682.6,5613457.353
688041.SH,20250805,141.5,142.8,139.35,142.46,142.58,-0.12000000000000455,-0.08,176127.63,2489166.223
688041.SH,20250804,137.0,145.03,137.0,142.58,137.75,4.8300000000000125,3.51,319196.02,4550834.999
688041.SH,20250801,139.7,143.67,137.02,137.75,139.2,-1.4499999999999886,-1.04,225490.53,3151509.515
688041.SH,20250731,140.3,144.96,138.8,139.2,140.45,-1.25,-0.89,310673.82,4390459.188
688041.SH,20250730,142.1,143.19,139.61,140.45,143.0,-2.5500000000000114,-1.78,169458.33,2393448.556
688041.SH,20250729,139.1,145.0,138.51,143.0,139.93,3.069999999999993,2.19,281625.18,3998417.032
688041.SH,20250728,141.01,141.3,138.7,139.93,141.49,-1.5600000000000023,-1.1,186479.34,2607009.431
688041.SH,20250725,136.86,142.99,136.12,141.49,136.7,4.7900000000000205,3.5,358895.25,5000457.426
688041.SH,20250724,135.45,137.78,135.44,136.7,135.17,1.5300000000000011,1.13,198306.32,2706856.454
688041.SH,20250723,135.4,136.27,134.85,135.17,135.34,-0.17000000000001592,-0.13,203824.72,2760903.353
688041.SH,20250722,136.5,137.64,135.2,135.34,136.67,-1.329999999999984,-0.97,220066.05,2995090.613
688041.SH,20250721,137.22,138.34,136.18,136.67,136.97,-0.30000000000001137,-0.22,131695.01,1804042.3
688041.SH,20250718,137.5,138.16,136.31,136.97,138.0,-1.0300000000000011,-0.75,120687.45,1654756.451
688041.SH,20250717,137.56,138.0,135.82,138.0,137.56,0.4399999999999977,0.32,171590.59,2347195.047
688041.SH,20250716,136.7,139.15,136.5,137.56,136.7,0.8600000000000136,0.63,157453.73,2169023.139
688041.SH,20250715,136.1,137.64,135.86,136.7,136.1,0.5999999999999943,0.44,133083.44,1816701.018
688041.SH,20250714,137.0,137.68,136.0,136.1,137.43,-1.3300000000000125,-0.97,96210.7,1313903.137
688041.SH,20250711,135.46,138.95,135.01,137.43,135.11,2.319999999999993,1.72,209639.41,2880699.145
688041.SH,20250710,135.51,136.1,135.01,135.11,135.39,-0.2799999999999727,-0.21,109404.66,1480661.392
688041.SH,20250709,137.19,137.38,135.38,135.39,136.9,-1.5100000000000193,-1.1,90619.8,1234160.61
688041.SH,20250708,136.16,137.2,135.39,136.9,136.03,0.8700000000000045,0.64,100735.86,1375161.421
688041.SH,20250707,135.56,136.32,134.83,136.03,135.56,0.46999999999999886,0.35,72322.37,981568.198
688041.SH,20250704,135.36,137.3,134.9,135.56,135.36,0.19999999999998863,0.15,111513.27,1514571.791
688041.SH,20250703,135.8,136.43,135.1,135.36,135.56,-0.19999999999998863,-0.15,91407.42,1238216.535
688041.SH,20250702,136.31,136.78,135.5,135.56,136.5,-0.9399999999999977,-0.69,102669.33,1395235.281
688041.SH,20250701,141.07,141.09,136.21,136.5,141.29,-4.789999999999992,-3.39,195411.39,2683905.185
688041.SH,20250630,139.16,142.77,138.69,141.29,139.0,2.289999999999992,1.65,154044.65,2173041.988
688041.SH,20250627,142.85,143.29,138.88,139.0,141.75,-2.75,-1.94,170610.97,2388931.718
688041.SH,20250626,138.8,146.68,138.11,141.75,137.99,3.759999999999991,2.72,299167.33,4273947.686
688041.SH,20250625,136.54,138.25,135.74,137.99,137.14,0.8500000000000227,0.62,169955.9,2332328.874
688041.SH,20250624,134.0,138.12,133.6,137.14,133.58,3.559999999999974,2.67,196080.53,2674750.709
688041.SH,20250623,133.01,134.36,132.9,133.58,133.5,0.0800000000000125,0.06,90571.94,1209231.346
688041.SH,20250620,134.5,135.48,133.5,133.5,134.15,-0.6500000000000057,-0.48,90186.92,1209991.161
688041.SH,20250619,134.24,136.36,133.58,134.15,134.68,-0.5300000000000011,-0.39,106469.16,1435641.243
688041.SH,20250618,136.13,136.4,134.21,134.68,135.7,-1.0199999999999818,-0.75,119177.81,1608698.271
688041.SH,20250617,138.2,138.2,135.38,135.7,138.35,-2.6500000000000057,-1.92,131544.46,1789374.772
688041.SH,20250616,136.69,138.98,135.74,138.35,137.06,1.289999999999992,0.94,148708.06,2048039.605
688041.SH,20250613,135.01,137.96,134.43,137.06,136.09,0.9699999999999989,0.71,194930.23,2656599.455
688041.SH,20250612,135.5,136.56,132.01,136.09,135.5,0.5900000000000034,0.44,187557.83,2532497.846
688041.SH,20250611,140.1,141.0,135.41,135.5,141.98,-6.47999999999999,-4.56,319709.69,4367176.606
688041.SH,20250610,148.0,148.0,140.0,141.98,136.13,5.849999999999994,4.3,609077.34,8730159.987
688041.SH,20250523,136.67,139.78,135.38,136.13,136.66,-0.5300000000000011,-0.39,99657.39,1368973.474
688041.SH,20250522,138.51,139.56,136.0,136.66,138.85,-2.1899999999999977,-1.58,86075.36,1184784.35
688041.SH,20250521,138.5,139.81,138.02,138.85,138.96,-0.11000000000001364,-0.08,61520.54,855266.332
688041.SH,20250520,139.84,140.75,138.8,138.96,139.9,-0.9399999999999977,-0.67,78640.4,1098006.993
688041.SH,20250519,138.8,140.66,138.08,139.9,138.49,1.4099999999999966,1.02,79967.08,1114671.081
