ts_code,trade_date,open,high,low,close,vol,amount
000001.SH,20251031,3898.307,4025.7048,3800.1055,3954.79,1080931755600.0,16331344179579.0
000001.SH,20250930,3869.7457,3899.9594,3732.8404,3882.7774,1433664951100.0,22670486672504.0
000001.SH,20250829,3568.2608,3888.5985,3547.1629,3857.9274,1361833778600.0,20071889282364.0
000001.SH,20250731,3445.8457,3636.1664,3441.0379,3573.2082,1322882053600.0,15589075763900.0
000001.SH,20250630,3340.0666,3462.752,3340.0666,3444.4256,859510280500.0,10192830617374.0
000001.SH,20250530,3295.2504,3417.3142,3286.9886,3347.4873,776931756800.0,8915755065152.0
000001.SH,20250430,3340.7121,3361.134,3040.6932,3279.0314,952105116900.0,10820728882564.0
000001.SH,20250331,3328.3955,3439.0463,3297.5304,3335.7462,1003498886700.0,12506398217219.0
000001.SH,20250228,3270.1604,3388.7808,3220.2794,3320.8973,973230402000.0,12657259369893.0
000001.SH,20250127,3347.9392,3351.722,3140.9775,3250.6007,763711682700.0,8649227232932.0
000001.SH,20241231,3328.482,3494.8669,3323.0091,3351.763,1293592128600.0,13907904024444.0
000001.SH,20241129,3275.5768,3509.8182,3227.3553,3326.4557,1443980932700.0,16343172786904.0
000001.SH,20241031,3674.4048,3674.4048,3152.8213,3279.8244,1254206040800.0,14322783810800.0
000001.SH,20240930,2832.3499,3358.5883,2689.6952,3336.4974,694997327400.0,6504374089935.0
000001.SH,20240830,2940.12,2947.8768,2815.3829,2842.2142,596594223200.0,5665586709155.0
000001.SH,20240731,2965.2452,3004.987,2865.1493,2938.7493,663558797300.0,6785899379914.0
000001.SH,20240628,3085.9814,3097.2043,2933.3304,2967.4028,570135119100.0,6092488723413.0
000001.SH,20240531,3132.5115,3174.2658,3085.3841,3086.8134,699695866900.0,7429684095610.0
000001.SH,20240430,3049.0207,3123.2876,2995.542,3104.8245,764786214900.0,8115942847990.0
000001.SH,20240329,3013.8229,3090.0513,2984.1201,3041.1669,772070297200.0,8974013160925.0
000001.SH,20240229,2773.4239,3031.4881,2635.0897,3015.1712,656256974100.0,6458329463191.0
000001.SH,20240131,2972.775,2976.2682,2724.1573,2788.5482,692521105900.0,7238957449215.0
000001.SH,20231229,3027.353,3038.9794,2882.0195,2974.9348,605856445100.0,6897411461457.0
000001.SH,20231130,3038.1821,3089.7738,3009.121,3029.6727,649431931500.0,7770721111812.0
000001.SH,20231031,3099.9998,3109.9898,2923.5113,3018.7706,488864707300.0,5696059979491.0
000001.SH,20230928,3126.0234,3177.0603,3078.8007,3110.4753,526138945700.0,6044892084425.0
000001.SH,20230831,3288.7604,3315.0492,3053.0373,3119.8764,771651533000.0,8319036892569.0
000001.SH,20230731,3209.1623,3322.1291,3151.1252,3291.0398,588947228500.0,7296054551945.0
000001.SH,20230630,3196.1547,3276.5522,3144.2484,3202.0623,590465837800.0,7796658897046.0
000001.SH,20230531,3306.4827,3418.9534,3168.5716,3204.5644,705061427300.0,8227347052379.0
000001.SH,20230428,3277.34,3396.1745,3229.4461,3323.2746,671560609300.0,9367173392416.0
000001.SH,20230331,3279.1364,3342.8585,3216.9927,3272.8602,724715520600.0,9143252565647.0
000001.SH,20230228,3262.1961,3308.8279,3223.2581,3279.6053,562745026400.0,7206065814794.0
000001.SH,20230131,3087.513,3310.4903,3073.054,3255.6692,413343223200.0,5283874936333.0
000001.SH,20221230,3187.9899,3226.0817,3031.5358,3089.2579,614033199800.0,7216983454188.0
000001.SH,20221130,2899.4985,3158.5732,2896.7572,3151.3353,686907839800.0,8584437462168.0
000001.SH,20221031,3026.9354,3099.9182,2885.0894,2893.4829,413863340200.0,5445386911565.0
000001.SH,20220930,3196.5367,3278.1659,3021.9309,3024.3905,549015589800.0,6557337143217.0
000001.SH,20220831,3246.6161,3295.9976,3155.1866,3202.1378,705001014700.0,9487514329820.0
000001.SH,20220729,3400.2616,3424.8366,3226.2315,3253.2382,688087025900.0,8770869791692.9
000001.SH,20220630,3179.6949,3417.0085,3160.0399,3398.6161,873938770800.0,10510690071102.3
000001.SH,20220531,3044.8491,3188.6026,2957.3968,3186.4271,674727285100.0,7158448160711.2
000001.SH,20220429,3234.668,3290.2561,2863.6497,3047.0624,747790770000.0,7645060243050.4
000001.SH,20220331,3471.3646,3500.2872,3023.3045,3252.2029,870200597100.0,10054195795953.0
000001.SH,20220228,3407.7621,3500.1471,3390.4578,3462.3064,537725366100.0,6255947199528.0
000001.SH,20220128,3649.151,3651.8924,3356.5558,3361.4397,662572005600.0,8254810301433.0
000001.SH,20211231,3561.886,3708.942,3558.691,3639.775,863871281300.0,10946421261419.0
000001.SH,20211130,3530.396,3602.735,3448.438,3563.887,715132246300.0,10298736916561.0
000001.SH,20211029,3609.087,3625.016,3502.801,3547.336,561816733800.0,7297685057717.0
