ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,20000131,1359.73,1394.46,1394.48,1350.14,1360.16,34.3,2.52,3.26,
SPX,20000128,1397.73,1360.16,1398.56,1356.14,1398.56,-38.4,-2.75,3.03,
SPX,20000127,1404.09,1398.56,1418.95,1380.53,1404.09,-5.53,-0.39,2.74,
SPX,20000126,1407.12,1404.09,1412.53,1400.14,1410.03,-5.94,-0.42,0.88,
SPX,20000125,1402.87,1410.03,1414.26,1388.49,1401.53,8.5,0.61,1.84,
SPX,20000124,1444.36,1401.53,1454.25,1395.42,1441.36,-39.83,-2.76,4.08,
SPX,20000121,1448.87,1441.36,1452.75,1439.53,1445.57,-4.21,-0.29,0.91,
SPX,20000120,1455.9,1445.57,1465.56,1438.56,1455.9,-10.33,-0.71,1.85,
SPX,20000119,1451.99,1455.9,1462.23,1448.66,1455.14,0.76,0.05,0.93,
SPX,20000118,1465.15,1455.14,1465.16,1451.25,,,,,
SPX,20000114,1449.68,1465.15,1473.0,1449.67,1449.68,15.47,1.07,1.61,
SPX,20000113,1436.02,1449.68,1454.59,1432.25,1432.25,17.43,1.22,1.56,
SPX,20000112,1438.56,1432.25,1445.3,1427.31,1438.56,-6.31,-0.44,1.25,
SPX,20000111,1454.36,1438.56,1458.85,1434.42,1457.6,-19.04,-1.31,1.68,
SPX,20000110,1441.47,1457.6,1464.36,1441.47,1441.47,16.13,1.12,1.59,
SPX,20000107,1403.45,1441.47,1441.47,1400.53,1403.45,38.02,2.71,2.92,
SPX,20000106,1398.87,1403.45,1411.91,1392.02,1402.11,1.34,0.1,1.42,
SPX,20000105,1395.62,1402.11,1413.27,1377.68,1399.42,2.69,0.19,2.54,
SPX,20000104,1449.0,1399.42,1455.22,1397.42,1455.22,-55.8,-3.83,3.97,
SPX,20000103,1471.21,1455.22,1478.0,1438.36,1469.25,-14.03,-0.95,2.7,
SPX,20000229,1348.05,1366.42,1369.52,1348.05,1348.05,18.37,1.36,1.59,
SPX,20000228,1331.57,1348.05,1360.82,1325.02,1333.36,14.69,1.1,2.68,
SPX,20000225,1353.6,1333.36,1362.13,1329.13,1353.43,-20.07,-1.48,2.44,
SPX,20000224,1361.79,1353.43,1364.48,1329.91,1360.69,-7.26,-0.53,2.54,
SPX,20000223,1352.84,1360.69,1370.12,1342.42,1352.17,8.52,0.63,2.05,
SPX,20000222,1347.02,1352.17,1358.11,1331.97,1346.09,6.08,0.45,1.94,
SPX,20000218,1388.26,1346.09,1388.26,1345.29,1388.26,-42.17,-3.04,3.1,
SPX,20000217,1387.67,1388.26,1399.83,1380.06,1387.67,0.59,0.04,1.42,
SPX,20000216,1401.97,1387.67,1404.72,1385.58,1402.05,-14.38,-1.03,1.37,
SPX,20000215,1389.78,1402.05,1407.81,1376.2,1389.94,12.11,0.87,2.27,
SPX,20000214,1390.07,1389.94,1394.55,1380.62,1387.12,2.82,0.2,1.0,
SPX,20000211,1415.16,1387.12,1416.95,1379.16,1416.83,-29.71,-2.1,2.67,
SPX,20000210,1413.71,1416.83,1422.02,1406.38,1411.7,5.13,0.36,1.11,
SPX,20000209,1444.38,1411.7,1444.38,1411.64,1441.72,-30.02,-2.08,2.27,
SPX,20000208,1424.24,1441.72,1442.02,1424.23,1424.24,17.48,1.23,1.25,
SPX,20000207,1426.02,1424.24,1427.23,1413.33,1424.37,-0.13,-0.01,0.98,
SPX,20000204,1427.49,1424.37,1436.01,1420.53,1424.97,-0.6,-0.04,1.09,
SPX,20000203,1413.53,1424.97,1426.06,1398.53,1409.12,15.85,1.12,1.95,
SPX,20000202,1408.74,1409.12,1420.53,1403.2,1409.28,-0.16,-0.01,1.23,
SPX,20000201,1395.05,1409.28,1412.59,1384.75,1394.46,14.82,1.06,2.0,
SPX,20000331,1494.06,1498.58,1519.77,1484.53,1487.92,10.66,0.72,2.37,
SPX,20000330,1508.52,1487.92,1517.42,1474.63,1508.52,-20.6,-1.37,2.84,
SPX,20000329,1509.07,1508.52,1521.36,1497.31,1507.73,0.79,0.05,1.59,
SPX,20000328,1521.06,1507.73,1527.2,1507.2,1523.86,-16.13,-1.06,1.31,
SPX,20000327,1528.7,1523.86,1534.66,1518.63,1527.46,-3.6,-0.24,1.05,
SPX,20000324,1527.35,1527.46,1553.11,1516.84,1527.35,0.11,0.01,2.37,
SPX,20000323,1501.03,1527.35,1532.13,1493.77,1500.64,26.71,1.78,2.56,
SPX,20000322,1494.47,1500.64,1505.05,1487.41,1493.87,6.77,0.45,1.18,
SPX,20000321,1456.63,1493.87,1493.92,1446.03,1456.63,37.24,2.56,3.29,
SPX,20000320,1467.96,1456.63,1470.23,1448.42,1464.47,-7.84,-0.54,1.49,
SPX,20000317,1458.47,1464.47,1476.64,1453.2,1458.47,6.0,0.41,1.61,
SPX,20000316,1394.9,1458.47,1458.47,1392.16,1392.15,66.32,4.76,4.76,
SPX,20000315,1359.39,1392.15,1397.99,1356.99,1359.15,33.0,2.43,3.02,
SPX,20000314,1388.91,1359.15,1395.33,1359.14,1383.62,-24.47,-1.77,2.62,
SPX,20000313,1395.03,1383.62,1398.45,1365.31,1395.07,-11.45,-0.82,2.38,
SPX,20000310,1401.69,1395.07,1413.38,1392.07,1401.69,-6.62,-0.47,1.52,
SPX,20000309,1366.7,1401.69,1401.81,1357.84,1366.7,34.99,2.56,3.22,
SPX,20000308,1359.92,1366.7,1373.59,1346.5,1355.62,11.08,0.82,2.0,
SPX,20000307,1397.25,1355.62,1399.56,1349.59,1391.28,-35.66,-2.56,3.59,
SPX,20000306,1409.4,1391.28,1409.81,1384.78,1409.17,-17.89,-1.27,1.78,
SPX,20000303,1386.77,1409.17,1410.88,1381.77,1381.76,27.41,1.98,2.11,
SPX,20000302,1380.65,1381.76,1386.91,1370.31,1379.19,2.57,0.19,1.2,
SPX,20000301,1366.83,1379.19,1383.0,1366.42,1366.42,12.77,0.93,1.21,
SPX,20000428,1468.01,1452.43,1473.42,1448.48,1464.92,-12.49,-0.85,1.7,
SPX,20000427,1452.83,1464.92,1469.14,1434.84,1460.99,3.93,0.27,2.35,
SPX,20000426,1477.4,1460.99,1482.81,1457.27,1477.44,-16.45,-1.11,1.73,
SPX,20000425,1438.42,1477.44,1477.67,1429.86,1429.86,47.58,3.33,3.34,
SPX,20000424,1434.54,1429.86,1434.55,1407.16,1434.54,-4.68,-0.33,1.91,
SPX,20000420,1427.77,1434.54,1435.42,1421.98,1427.47,7.07,0.5,0.94,
SPX,20000419,1442.16,1427.47,1447.69,1425.27,1441.61,-14.14,-0.98,1.56,
SPX,20000418,1402.48,1441.61,1441.61,1397.61,1401.44,40.17,2.87,3.14,
SPX,20000417,1356.56,1401.44,1401.48,1346.67,1356.56,44.88,3.31,4.04,
SPX,20000414,1436.67,1356.56,1440.52,1339.41,1440.51,-83.95,-5.83,7.02,
SPX,20000413,1471.67,1440.51,1477.36,1440.34,1467.17,-26.66,-1.82,2.52,
SPX,20000412,1500.67,1467.17,1510.59,1466.16,1500.59,-33.42,-2.23,2.96,
SPX,20000411,1499.18,1500.59,1512.8,1486.88,1504.46,-3.87,-0.26,1.72,
SPX,20000410,1516.85,1504.46,1527.11,1503.02,1516.35,-11.89,-0.78,1.59,
SPX,20000407,1503.84,1516.35,1518.48,1501.34,1501.34,15.01,1.0,1.14,
SPX,20000406,1487.38,1501.34,1511.77,1487.38,1487.37,13.97,0.94,1.64,
SPX,20000405,1491.46,1487.37,1506.55,1478.06,1494.73,-7.36,-0.49,1.91,
SPX,20000404,1509.47,1494.73,1526.22,1417.22,1505.97,-11.24,-0.75,7.24,
SPX,20000403,1498.57,1505.97,1507.08,1487.09,1498.58,7.39,0.49,1.33,
SPX,20000531,1420.93,1420.6,1434.56,1415.39,1422.45,-1.85,-0.13,1.35,
SPX,20000530,1382.65,1422.45,1422.45,1377.8,1378.02,44.43,3.22,3.24,
SPX,20000526,1381.52,1378.02,1391.42,1369.75,1381.52,-3.5,-0.25,1.57,
SPX,20000525,1399.05,1381.52,1411.89,1373.98,1399.05,-17.53,-1.25,2.71,
SPX,20000524,1372.84,1399.05,1401.41,1361.2,1373.86,25.19,1.83,2.93,
SPX,20000523,1400.72,1373.86,1403.77,1373.42,1400.72,-26.86,-1.92,2.17,
SPX,20000522,1406.95,1400.72,1410.31,1368.63,1406.95,-6.23,-0.44,2.96,
SPX,20000519,1433.74,1406.95,1437.2,1401.77,1437.21,-30.26,-2.11,2.47,
SPX,20000518,1448.25,1437.21,1457.95,1436.66,1447.8,-10.59,-0.73,1.47,
SPX,20000517,1466.04,1447.8,1466.05,1441.63,1466.04,-18.24,-1.24,1.67,
SPX,20000516,1456.11,1466.04,1470.41,1450.77,1452.36,13.68,0.94,1.35,
SPX,20000515,1421.0,1452.36,1452.38,1417.05,1420.96,31.4,2.21,2.49,
SPX,20000512,1408.28,1420.96,1430.2,1407.81,1407.81,13.15,0.93,1.59,
SPX,20000511,1386.88,1407.81,1410.25,1383.05,1383.05,24.76,1.79,1.97,
SPX,20000510,1410.53,1383.05,1412.14,1375.2,1412.14,-29.09,-2.06,2.62,
SPX,20000509,1426.51,1412.14,1429.81,1401.86,1424.17,-12.03,-0.84,1.96,
SPX,20000508,1432.63,1424.17,1432.63,1416.92,1432.63,-8.46,-0.59,1.1,
SPX,20000505,1408.32,1432.63,1435.88,1405.16,1409.57,23.06,1.64,2.18,
SPX,20000504,1415.54,1409.57,1420.52,1404.98,1415.1,-5.53,-0.39,1.1,
SPX,20000503,1444.21,1415.1,1446.3,1398.36,1446.29,-31.19,-2.16,3.31,
SPX,20000502,1467.57,1446.29,1468.25,1445.14,1468.25,-21.96,-1.5,1.57,
SPX,20000501,1456.75,1468.25,1481.42,1452.42,1452.43,15.82,1.09,2.0,
SPX,20000630,1441.33,1454.6,1454.68,1438.71,1442.39,12.21,0.85,1.11,
SPX,20000629,1451.71,1442.39,1455.14,1434.63,1454.82,-12.43,-0.85,1.41,
SPX,20000628,1451.96,1454.82,1467.6,1451.51,1450.55,4.27,0.29,1.11,
SPX,20000627,1455.31,1450.55,1463.44,1450.55,1455.31,-4.76,-0.33,0.89,
SPX,20000626,1443.65,1455.31,1459.66,1443.65,1441.48,13.83,0.96,1.11,
SPX,20000623,1452.78,1441.48,1459.94,1438.31,1452.18,-10.7,-0.74,1.49,
SPX,20000622,1478.19,1452.18,1478.19,1448.03,1479.13,-26.95,-1.82,2.04,
