title,link,text,date,year_month,year
我校与四川银保监局签约共建清廉金融教育基地,../info/1003/64961.htm,我校与四川银保监局签约共建清廉金融教育基地,2020-06-12,2020-06,2020
四川银保监局与西南财经大学共建清廉金融教育基地揭牌仪式暨“清廉金融第一课”在我校举行,../info/1003/64191.htm,四川银保监局与西南财经大学共建清廉金融教育基地揭牌仪式暨“清廉金...,2020-09-23,2020-09,2020
我校与建行大学共建金融与会计教研中心,../info/1003/63401.htm,我校与建行大学共建金融与会计教研中心,2020-11-20,2020-11,2020
西南财经大学与电子科技大学签署战略合作协议,../info/1003/61931.htm,西南财经大学与电子科技大学签署战略合作协议,2021-04-12,2021-04,2021
西南财经大学与武汉商学院续签就业创业帮扶协议,../info/1003/61541.htm,西南财经大学与武汉商学院续签就业创业帮扶协议,2021-05-12,2021-05,2021
我校支持四川财经职业学院合作协议签约仪式举行,../info/1003/61801.htm,我校支持四川财经职业学院合作协议签约仪式举行,2021-05-28,2021-05,2021
我校与锦泰保险公司签署战略合作协议,../info/1003/60961.htm,我校与锦泰保险公司签署战略合作协议,2021-07-08,2021-07,2021
我校与中国农业银行举行全面战略合作协议签约暨“新财经”综合实验室揭牌仪式,../info/1003/60361.htm,我校与中国农业银行举行全面战略合作协议签约暨“新财经”综合实验室...,2021-10-15,2021-10,2021
我校与四川省税务局签署西财税收实践教育基地合作共建协议,../info/1003/59591.htm,我校与四川省税务局签署西财税收实践教育基地合作共建协议,2021-12-10,2021-12,2021
我校与四川银保监局签署全面战略合作协议,../info/1003/59631.htm,我校与四川银保监局签署全面战略合作协议,2021-12-13,2021-12,2021
山东财经大学校长赵忠秀一行到访  与我校续签战略合作协议,../info/1003/59661.htm,山东财经大学校长赵忠秀一行到访  与我校续签战略合作协议,2021-12-17,2021-12,2021
我校与四川金融控股集团签署战略合作协议,../info/1003/59271.htm,我校与四川金融控股集团签署战略合作协议,2022-01-19,2022-01,2022
“西南财经大学—长虹集团”校企合作共建启动会召开,../info/1003/58941.htm,“西南财经大学—长虹集团”校企合作共建启动会召开,2022-04-02,2022-04,2022
我校与四川省自然资源投资集团签署战略合作协议,../info/1003/58541.htm,我校与四川省自然资源投资集团签署战略合作协议,2022-05-11,2022-05,2022
我校与广发证券举行校企人力资源合作框架协议签约仪式暨首届“广发证券杯”高校资产配置模拟大赛颁奖典礼,../info/1003/58171.htm,我校与广发证券举行校企人力资源合作框架协议签约仪式暨首届“广发证...,2022-06-15,2022-06,2022
我校与恒丰银行签署战略合作协议,../info/1003/57821.htm,我校与恒丰银行签署战略合作协议,2022-07-11,2022-07,2022
我校与中国民生银行股份有限公司成都分行签订战略合作协议,../info/1003/56041.htm,我校与中国民生银行股份有限公司成都分行签订战略合作协议,2023-03-01,2023-03,2023
我校与中国建设银行四川省分行签订财富管理联合培养项目协议,../info/1003/55601.htm,我校与中国建设银行四川省分行签订财富管理联合培养项目协议,2023-03-15,2023-03,2023
我校与中国证监会四川监管局、中国证监会重庆监管局、深圳证券交易所、华西证券股份有限公司、西南证券股份有限公司签订合作备忘录,../info/1003/55721.htm,我校与中国证监会四川监管局、中国证监会重庆监管局、深圳证券交易所...,2023-03-23,2023-03,2023
学校召开“‘新财经’战略升级实现路径与理工学科创新发展”教育思想大讨论座谈会,../info/1003/55761.htm,学校召开“‘新财经’战略升级实现路径与理工学科创新发展”教育思想...,2023-03-29,2023-03,2023
校领导带队在京开展“新财经”战略升级主题调研,../info/1003/55841.htm,校领导带队在京开展“新财经”战略升级主题调研,2023-04-10,2023-04,2023
校领导带队赴新疆参加对口支援新疆财经大学工作会议 签署校际合作协议并出席西南财经大学—新疆财经大学中亚研究院揭牌仪式,../info/1003/54271.htm,校领导带队赴新疆参加对口支援新疆财经大学工作会议 签署校际合作协议...,2023-07-09,2023-07,2023
我校与成渝金融法院、西南政法大学签订《战略合作框架协议》,../info/1003/54311.htm,我校与成渝金融法院、西南政法大学签订《战略合作框架协议》,2023-07-11,2023-07,2023
我校与德勤华永会计师事务所签订校企全方位战略合作备忘录,../info/1003/54011.htm,我校与德勤华永会计师事务所签订校企全方位战略合作备忘录,2023-09-20,2023-09,2023
我校与四川银行签署战略合作协议,../info/1003/52881.htm,我校与四川银行签署战略合作协议,2023-11-28,2023-11,2023
我校与兴业银行签署全面战略合作协议,../info/1003/53091.htm,我校与兴业银行签署全面战略合作协议,2023-12-08,2023-12,2023
